     south (in),      east (in),      az  (deg),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     leftmost  ,     rightmost ,     south1    ,     east1     ,     az1       ,     south2    ,          east2,     az2       ,     south     ,     east      ,     az        ,     az-off-rad,     range (in)
             80,             50,     -39.163722,      97.000000,     159.000000,     224.000000,     151.000000,     170.000000,     258.000000,      96.000000,       9.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.155817,      -0.002493,       0.253734,       0.077145,      -0.079155,       0.165440,      98.887356,      68.510810,             MU,             ML,       0.024930,       0.239666,      -0.059773,      -0.270019,       0.132298,      -0.164896,      82.974448,      38.192504,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      76.938198,      51.190171,      -0.710783,      80.408770,      50.266885,      -0.683852,      78.673484,      50.728528,      -0.697318,      -0.086759,     121.965830
             80,             50,     -27.758541,      11.000000,      78.000000,     226.000000,     153.000000,      90.000000,     176.000000,      95.000000,      12.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.355726,      -0.201687,       0.258402,       0.082100,      -0.278706,       0.170251,      98.887356,      69.000242,             MU,             ML,      -0.172804,       0.039875,      -0.062257,      -0.263057,      -0.066465,      -0.162657,      86.973217,      37.727101,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      78.309483,      50.824502,      -0.500143,      84.732585,      48.801023,      -0.449613,      81.521034,      49.812762,      -0.474878,      -0.072069,     108.616855
             80,             60,     -42.607522,     100.000000,     155.000000,     218.000000,     149.000000,     165.000000,     242.000000,      97.000000,      15.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.148508,      -0.012467,       0.239666,       0.072186,      -0.080488,       0.155926,     104.619957,      68.446463,             MU,             ML,       0.012467,       0.201687,      -0.057288,      -0.256069,       0.107077,      -0.156679,      88.033866,      38.092997,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      79.052930,      60.681077,      -0.753646,      85.106845,      59.718838,      -0.712703,      82.079888,      60.199958,      -0.733174,      -0.083807,     130.746907
             80,             60,     -32.275644,      23.000000,      81.000000,     220.000000,     150.000000,      92.000000,     169.000000,      97.000000,      17.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.329180,      -0.194496,       0.244367,       0.074666,      -0.261838,       0.159516,     103.125386,      68.591131,             MU,             ML,      -0.167960,       0.022438,      -0.057288,      -0.251397,      -0.072761,      -0.154342,      90.234713,      37.961326,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      74.001174,      60.793787,      -0.605368,      83.923395,      59.593707,      -0.538321,      78.962284,      60.193747,      -0.571845,      -0.081583,     111.589417
             90,            -60,      17.258278,     130.000000,     224.000000,     237.000000,     157.000000,     237.000000,     317.000000,      97.000000,      24.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.074666,       0.158249,       0.283861,       0.091999,       0.041792,       0.187930,      90.234713,      69.160302,             MU,             ML,       0.189691,       0.373139,      -0.057288,      -0.234955,       0.281415,      -0.146121,      98.887356,      37.446740,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      91.979019,     -58.836792,       0.283128,      89.272508,     -61.011182,       0.312389,      90.625763,     -59.923987,       0.297759,       0.045884,     110.525621
             90,            -60,      29.744881,     233.000000,     291.000000,     213.000000,     149.000000,     149.000000,     222.000000,      98.000000,      26.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.180054,       0.315722,       0.227868,       0.072186,       0.247888,       0.150027,     112.793391,      69.050136,             MU,             MR,      -0.027422,       0.153383,      -0.054802,      -0.230233,       0.062980,      -0.142517,     100.260792,      37.613568,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      99.512850,     -57.500490,       0.456274,      86.149749,     -61.325797,       0.547419,      92.831299,     -59.413143,       0.501846,       0.065725,     123.115843
             90,            -60,      39.766905,     162.000000,     216.000000,     212.000000,     148.000000,      77.000000,     152.000000,      99.000000,      24.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.004987,       0.138739,       0.225500,       0.069705,       0.071863,       0.147602,     112.793391,      68.770550,             MU,             MR,      -0.204079,      -0.019945,      -0.052316,      -0.234955,      -0.112012,      -0.143635,      96.250360,      38.079200,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      88.681739,     -60.888424,       0.707904,      80.847729,     -62.219624,       0.759914,      84.764734,     -61.554024,       0.733909,       0.081332,     133.649777
             90,            -50,      25.463345,     235.000000,     300.000000,     219.000000,     151.000000,     142.000000,     224.000000,      97.000000,      22.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.184877,       0.335864,       0.242018,       0.077145,       0.260370,       0.159581,     106.158486,      69.086198,             MU,             MR,      -0.044853,       0.158249,      -0.057288,      -0.239666,       0.056698,      -0.148477,      96.250360,      37.603100,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      89.453727,     -50.663272,       0.452819,      85.310656,     -52.139715,       0.484633,      87.382191,     -51.401494,       0.468726,       0.066436,     114.561017
             90,            -50,      36.388447,     158.000000,     219.000000,     217.000000,     149.000000,      64.000000,     147.000000,      97.000000,      19.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.004987,       0.146069,       0.237312,       0.072186,       0.070541,       0.154749,     106.158486,      68.560291,             MU,             MR,      -0.234955,      -0.032404,      -0.057288,      -0.246713,      -0.133679,      -0.152000,      92.548423,      37.823274,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      91.101515,     -49.910035,       0.629288,      85.165621,     -52.112303,       0.675127,      88.133568,     -51.011169,       0.652208,       0.077031,     129.544233
             90,            -40,      20.854458,     237.000000,     310.000000,     224.000000,     153.000000,     135.000000,     224.000000,      96.000000,      18.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.189691,       0.357915,       0.253734,       0.082100,       0.273803,       0.167917,     101.672916,      69.234950,             MU,             MR,      -0.062257,       0.158249,      -0.059773,      -0.249056,       0.047996,      -0.154414,      92.548423,      37.594518,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      92.370300,     -38.754013,       0.344181,      85.445324,     -42.749036,       0.407696,      88.907812,     -40.751524,       0.375938,       0.056027,     111.613261
             90,            -40,      32.688869,     153.000000,     221.000000,     222.000000,     151.000000,      50.000000,     141.000000,      96.000000,      15.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.017453,       0.150946,       0.249056,       0.077145,       0.066747,       0.163101,     101.672916,      68.731535,             MU,             MR,      -0.267701,      -0.047341,      -0.059773,      -0.256069,      -0.157521,      -0.157921,      89.120704,      37.807789,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      91.385834,     -39.800490,       0.563016,      87.036089,     -42.301453,       0.602725,      89.210962,     -41.050971,       0.582870,       0.073295,     124.670455
             90,            -30,      28.655554,     147.000000,     223.000000,     227.000000,     153.000000,      35.000000,     134.000000,      95.000000,      11.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.032404,       0.155817,       0.260731,       0.082100,       0.061706,       0.171416,      97.551041,      68.887500,             MU,             MR,      -0.302144,      -0.064740,      -0.062257,      -0.265381,      -0.183442,      -0.163819,      85.937822,      37.794472,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      91.641929,     -28.904316,       0.484554,      88.907640,     -31.287044,       0.515768,      90.274784,     -30.095680,       0.500161,       0.067216,     119.942628
             90,            -20,      24.286710,     141.000000,     224.000000,     232.000000,     154.000000,      21.000000,     126.000000,      94.000000,       8.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.047341,       0.158249,       0.272333,       0.084577,       0.055454,       0.178455,      92.548423,      68.693306,             MU,             MR,      -0.333639,      -0.084577,      -0.064740,      -0.272333,      -0.209108,      -0.168537,      83.939268,      37.717662,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      92.729282,     -17.183334,       0.389479,      88.440404,     -22.626834,       0.453224,      90.584843,     -19.905084,       0.421351,       0.060035,     115.689404
             90,            -10,      19.595729,     134.000000,     224.000000,     236.000000,     156.000000,       8.000000,     118.000000,      93.000000,       6.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.064740,       0.158249,       0.281561,       0.089526,       0.046755,       0.185544,      90.234713,      68.937295,             MU,             MR,      -0.362283,      -0.104347,      -0.067223,      -0.276953,      -0.233315,      -0.172088,      82.974448,      37.578434,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      91.931734,      -7.476862,       0.313122,      88.885870,     -13.250531,       0.376351,      90.408802,     -10.363697,       0.344736,       0.051637,     111.962504
             90,             10,     -19.595729,      96.000000,     186.000000,     236.000000,     156.000000,     202.000000,     312.000000,      93.000000,       6.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.158249,       0.064740,       0.281561,       0.089526,      -0.046755,       0.185544,      90.234713,      68.937295,             MU,             ML,       0.104347,       0.362283,      -0.067223,      -0.276953,       0.233315,      -0.172088,      82.974448,      37.578434,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      88.885870,      13.250531,      -0.376351,      91.931734,       7.476862,      -0.313122,      90.408802,      10.363697,      -0.344736,      -0.051637,     111.962504
