     south (in),      east (in),      az  (deg),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     leftmost  ,     rightmost ,     south1    ,     east1     ,     az1       ,     south2    ,          east2,     az2       ,     south     ,     east      ,     az        ,     az-off-rad,     range (in)
            100,             40,     -19.179008,      20.000000,      90.000000,     216.000000,     150.000000,     198.000000,     296.000000,     234.000000,     156.000000,     102.000000,     184.000000,      98.000000,      28.000000,             -1,             -1,             -1,             -1,      -0.335864,      -0.172804,       0.234955,       0.074666,      -0.254334,       0.154810,     109.375409,      69.069011,             MU,             ML,       0.094471,       0.326946,       0.276953,       0.089526,       0.210708,       0.183240,      92.548423,      69.150931,             MU,             MR,      -0.143627,       0.059773,      -0.054802,      -0.225500,      -0.041927,      -0.140151,     103.125386,      37.451487,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,      98.872684,      41.841438,      -0.351835,     101.571373,      38.497444,      -0.318257,     100.222028,      40.169441,      -0.335046,      -0.045749,     122.023357
            100,             40,      -6.262530,     107.000000,     201.000000,     228.000000,     156.000000,       5.000000,      93.000000,      97.000000,      27.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.131394,       0.101879,       0.263057,       0.089526,      -0.014757,       0.176292,     100.260792,      69.860541,             MU,             MR,      -0.368808,      -0.165536,      -0.057288,      -0.227868,      -0.267172,      -0.142578,     103.125386,      37.196174,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      98.561899,      43.656274,      -0.145239,     101.040187,      39.254728,      -0.100640,      99.801043,      41.455501,      -0.122939,      -0.018113,     115.660707
            100,             50,     -33.935410,     105.000000,     165.000000,     210.000000,     148.000000,     175.000000,     253.000000,      99.000000,      28.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.136292,       0.012467,       0.220757,       0.069705,      -0.061913,       0.145231,     116.431887,      69.029424,             MU,             ML,       0.037385,       0.227868,      -0.052316,      -0.225500,       0.132626,      -0.138908,     101.672916,      37.785286,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      98.211410,      51.527459,      -0.610504,     101.028908,      50.120299,      -0.588671,      99.620159,      50.823879,      -0.599588,      -0.066801,     138.757442
            100,             50,     -23.498566,      28.000000,      91.000000,     211.000000,     149.000000,     191.000000,     285.000000,     232.000000,     155.000000,     102.000000,     178.000000,      99.000000,      30.000000,             -1,             -1,             -1,             -1,      -0.317973,      -0.170383,       0.223130,       0.072186,      -0.244178,       0.147658,     116.431887,      69.318131,             MU,             ML,       0.077145,       0.302144,       0.272333,       0.087052,       0.189645,       0.179693,      93.750351,      69.029928,             MU,             MR,      -0.143627,       0.044853,      -0.052316,      -0.220757,      -0.049387,      -0.136536,     104.619957,      37.626127,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,      98.206113,      52.325579,      -0.433209,     101.480230,      49.449851,      -0.401050,      99.843172,      50.887715,      -0.417130,      -0.054253,     125.612554
            100,             50,     -11.127774,     104.000000,     195.000000,     228.000000,     155.000000,       9.000000,      91.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.138739,       0.087052,       0.263057,       0.087052,      -0.025843,       0.175054,      98.887356,      69.489693,             MU,             MR,      -0.360101,      -0.170383,      -0.054802,      -0.223130,      -0.265242,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      98.712788,      52.317668,      -0.217373,     101.191068,      49.217569,      -0.183965,      99.951928,      50.767619,      -0.200669,      -0.029137,     117.306975
            100,             60,     -37.228517,     107.000000,     161.000000,     206.000000,     146.000000,     171.000000,     242.000000,     100.000000,      32.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.131394,       0.002493,       0.211242,       0.064740,      -0.064450,       0.137991,     120.312950,      68.708283,             MU,             ML,       0.027422,       0.201687,      -0.049829,      -0.216004,       0.114554,      -0.132917,     106.158486,      37.806096,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      93.902907,      62.387004,      -0.694173,     104.871001,      58.673027,      -0.620418,      99.386954,      60.530015,      -0.657296,      -0.068942,     144.265540
            100,             60,     -27.552812,      36.000000,      93.000000,     207.000000,     147.000000,     185.000000,     274.000000,     230.000000,     154.000000,     103.000000,     173.000000,     100.000000,      34.000000,             -1,             -1,             -1,             -1,      -0.299870,      -0.165536,       0.213624,       0.067223,      -0.232703,       0.140424,     120.312950,      69.006709,             MU,             ML,       0.062257,       0.276953,       0.267701,       0.084577,       0.169605,       0.176139,      94.983908,      68.905551,             MU,             MR,      -0.141184,       0.032404,      -0.049829,      -0.211242,      -0.054390,      -0.130535,     109.375409,      37.641020,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,      97.958093,      61.748470,      -0.501452,     101.173812,      59.680698,      -0.474976,      99.565953,      60.714584,      -0.488214,      -0.060267,     129.659625
            100,             60,     -15.836103,     103.000000,     189.000000,     226.000000,     154.000000,      15.000000,      90.000000,      99.000000,      32.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.141184,       0.072186,       0.258402,       0.084577,      -0.034499,       0.171489,     100.260792,      69.364186,             MU,             MR,      -0.346933,      -0.172804,      -0.052316,      -0.216004,      -0.259869,      -0.134160,     107.742941,      37.457851,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      97.184955,      62.914939,      -0.309778,     103.894076,      56.675728,      -0.237148,     100.539516,      59.795334,      -0.273463,      -0.038367,     120.000556
            110,            -60,      14.625725,     132.000000,     212.000000,     216.000000,     151.000000,     224.000000,     294.000000,     100.000000,      39.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.069705,       0.128942,       0.234955,       0.077145,       0.029619,       0.156050,     111.058108,      69.472657,             MU,             ML,       0.158249,       0.322466,      -0.049829,      -0.199292,       0.240358,      -0.124560,     118.340607,      37.182731,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     111.125671,     -59.689581,       0.250472,     103.997996,     -66.262212,       0.322656,     107.561833,     -62.975896,       0.286564,       0.036934,     127.626294
            110,            -60,      25.641006,      53.000000,     135.000000,     220.000000,     151.000000,     222.000000,     278.000000,     202.000000,     146.000000,     146.000000,     213.000000,     101.000000,      40.000000,             -1,             -1,             -1,             -1,      -0.260731,      -0.062257,       0.244367,       0.077145,      -0.161494,       0.160756,     104.619957,      68.964650,             MU,             ML,       0.153383,       0.286157,       0.201687,       0.064740,       0.219770,       0.133214,     128.906732,      69.274430,             MU,             MR,      -0.034895,       0.131394,      -0.047341,      -0.196895,       0.048250,      -0.122118,     118.340607,      37.476193,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     111.201993,     -59.751747,       0.441918,     109.363492,     -61.138760,       0.457124,     110.282742,     -60.445253,       0.449521,       0.051852,     139.102100
            110,            -60,      34.955088,     157.000000,     210.000000,     201.000000,     145.000000,      80.000000,     147.000000,     101.000000,      39.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.007480,       0.124035,       0.199292,       0.062257,       0.058277,       0.130775,     128.906732,      68.954481,             MU,             MR,      -0.196895,      -0.032404,      -0.047341,      -0.199292,      -0.114650,      -0.123317,     116.431887,      37.568786,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     119.920240,     -55.695106,       0.546312,     104.412473,     -63.097186,       0.652009,     112.166357,     -59.396146,       0.599161,       0.059654,     153.952531
            110,            -50,      10.257243,     127.000000,     210.000000,     218.000000,     152.000000,     223.000000,     299.000000,      99.000000,      37.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.082100,       0.124035,       0.239666,       0.079623,       0.020967,       0.159645,     109.375409,      69.611063,             MU,             ML,       0.155817,       0.333639,      -0.052316,      -0.204079,       0.244728,      -0.128197,     116.431887,      36.991428,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     112.974518,     -46.017749,       0.140787,     106.686775,     -54.853927,       0.226137,     109.830647,     -50.435838,       0.183462,       0.024279,     126.941963
            110,            -50,      21.801409,      43.000000,     129.000000,     222.000000,     152.000000,     223.000000,     284.000000,     205.000000,     147.000000,     141.000000,     213.000000,     100.000000,      38.000000,             -1,             -1,             -1,             -1,      -0.283861,      -0.077145,       0.249056,       0.079623,      -0.180503,       0.164340,     103.125386,      69.101827,             MU,             ML,       0.155817,       0.299870,       0.208856,       0.067223,       0.227843,       0.138040,     124.461673,      69.290619,             MU,             MR,      -0.047341,       0.131394,      -0.049829,      -0.201687,       0.042026,      -0.125758,     116.431887,      37.280109,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     111.484495,     -49.147338,       0.371249,     108.463765,     -52.150472,       0.401061,     109.974130,     -50.648905,       0.386155,       0.046549,     134.847487
            110,            -50,      31.759164,     153.000000,     211.000000,     204.000000,     146.000000,      70.000000,     143.000000,     100.000000,      36.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.017453,       0.126489,       0.206469,       0.064740,       0.054518,       0.135605,     124.461673,      68.981800,             MU,             MR,      -0.220757,      -0.042364,      -0.049829,      -0.206469,      -0.131561,      -0.128149,     112.793391,      37.466014,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     113.443379,     -48.727563,       0.533860,     106.828436,     -52.747374,       0.585152,     110.135908,     -50.737469,       0.559506,       0.058861,     147.517234
            110,            -40,       5.765047,     122.000000,     208.000000,     218.000000,     153.000000,     221.000000,     302.000000,      99.000000,      35.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.094471,       0.119121,       0.239666,       0.082100,       0.012325,       0.160883,     111.058108,      70.023155,             MU,             ML,       0.150946,       0.340302,      -0.052316,      -0.208856,       0.245624,      -0.130586,     112.793391,      37.186455,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     110.662769,     -39.319937,       0.093928,     107.487350,     -45.285878,       0.149361,     109.075059,     -42.302907,       0.121644,       0.016271,     124.969250
            110,            -40,      17.744672,      35.000000,     124.000000,     223.000000,     153.000000,     224.000000,     290.000000,     209.000000,     148.000000,     136.000000,     213.000000,     100.000000,      36.000000,             -1,             -1,             -1,             -1,      -0.302144,      -0.089526,       0.251397,       0.082100,      -0.195835,       0.166749,     103.125386,      69.357182,             MU,             ML,       0.158249,       0.313467,       0.218382,       0.069705,       0.235858,       0.144043,     118.340607,      69.165072,             MU,             MR,      -0.059773,       0.131394,      -0.049829,      -0.206469,       0.035811,      -0.128149,     112.793391,      37.466014,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     111.092157,     -39.745358,       0.305433,     108.117763,     -43.594773,       0.341108,     109.604960,     -41.670065,       0.323270,       0.040582,     131.387938
            110,            -40,      28.326443,     149.000000,     212.000000,     207.000000,     147.000000,      60.000000,     138.000000,     100.000000,      33.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.027422,       0.128942,       0.213624,       0.067223,       0.050760,       0.140424,     120.312950,      69.006709,             MU,             MR,      -0.244367,      -0.054802,      -0.049829,      -0.213624,      -0.149584,      -0.131726,     107.742941,      37.724743,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     114.091084,     -37.395180,       0.463383,     107.262470,     -43.103084,       0.526598,     110.676777,     -40.249132,       0.494990,       0.054829,     142.717734
            110,            -30,       1.200744,     118.000000,     204.000000,     218.000000,     153.000000,     218.000000,     303.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.104347,       0.109277,       0.239666,       0.082100,       0.002465,       0.160883,     111.058108,      70.023155,             MU,             ML,       0.143627,       0.342516,      -0.054802,      -0.213624,       0.243071,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     111.886534,     -25.442284,      -0.019585,     109.031999,     -35.199673,       0.066025,     110.459266,     -30.320978,       0.023220,       0.003181,     125.493733
            110,            -30,      13.495733,      27.000000,     118.000000,     223.000000,     153.000000,     223.000000,     296.000000,     212.000000,     150.000000,     131.000000,     212.000000,      99.000000,      34.000000,             -1,             -1,             -1,             -1,      -0.320221,      -0.104347,       0.251397,       0.082100,      -0.212284,       0.166749,     103.125386,      69.357182,             MU,             ML,       0.155817,       0.326946,       0.225500,       0.074666,       0.241381,       0.150083,     116.431887,      69.606841,             MU,             MR,      -0.072186,       0.128942,      -0.052316,      -0.211242,       0.028378,      -0.131779,     111.058108,      37.279608,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     110.725194,     -28.809153,       0.225041,     109.999736,     -30.240539,       0.237326,     110.362465,     -29.524846,       0.231183,       0.030104,     128.792330
            110,            -30,      24.657016,     145.000000,     213.000000,     211.000000,     148.000000,      50.000000,     133.000000,      99.000000,      31.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.037385,       0.131394,       0.223130,       0.069705,       0.047004,       0.146417,     114.583762,      68.897983,             MU,             MR,      -0.267701,      -0.067223,      -0.052316,      -0.218382,      -0.167462,      -0.135349,     106.158486,      37.543179,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     112.750205,     -27.346523,       0.402981,     106.268972,     -34.412873,       0.475562,     109.509588,     -30.879698,       0.439271,       0.051273,     137.465741
            110,            -20,      -3.378821,     114.000000,     200.000000,     218.000000,     153.000000,     214.000000,     302.000000,      97.000000,      31.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.114202,       0.099411,       0.239666,       0.082100,      -0.007395,       0.160883,     111.058108,      70.023155,             MU,             ML,       0.133844,       0.340302,      -0.057288,      -0.218382,       0.237073,      -0.137835,     109.375409,      36.828048,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     110.991702,     -17.142165,      -0.083536,     109.816145,     -25.850445,      -0.008382,     110.403923,     -21.496305,      -0.045959,      -0.006359,     125.541873
            110,            -20,       9.090277,      22.000000,     112.000000,     222.000000,     154.000000,     222.000000,     300.000000,     214.000000,     151.000000,     126.000000,     210.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,      -0.331411,      -0.119121,       0.249056,       0.084577,      -0.225266,       0.166816,     106.158486,      69.875090,             MU,             ML,       0.153383,       0.335864,       0.230233,       0.077145,       0.244623,       0.153689,     114.583762,      69.750217,             MU,             MR,      -0.084577,       0.124035,      -0.054802,      -0.213624,       0.019729,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     111.521302,     -16.207507,       0.126541,     110.029461,     -21.072752,       0.166537,     110.775381,     -18.640129,       0.146539,       0.019577,     127.149129
            110,            -20,      20.758712,     140.000000,     213.000000,     213.000000,     150.000000,      41.000000,     128.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.049829,       0.131394,       0.227868,       0.074666,       0.040783,       0.151267,     114.583762,      69.466135,             MU,             MR,      -0.288451,      -0.079623,      -0.054802,      -0.223130,      -0.184037,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     111.122773,     -19.509041,       0.355922,     108.431023,     -23.503199,       0.394143,     109.776898,     -21.506120,       0.375033,       0.045550,     134.011667
            110,            -10,      -7.915657,     111.000000,     195.000000,     218.000000,     152.000000,     209.000000,     299.000000,      97.000000,      30.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.121579,       0.087052,       0.239666,       0.079623,      -0.017263,       0.159645,     109.375409,      69.611063,             MU,             ML,       0.121579,       0.333639,      -0.057288,      -0.220757,       0.227609,      -0.139023,     107.742941,      36.924056,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     110.340789,      -5.531496,      -0.176071,     110.909151,     -14.374062,      -0.100177,     110.624970,      -9.952779,      -0.138124,      -0.018406,     126.827998
            110,            -10,       4.573921,      18.000000,     108.000000,     220.000000,     154.000000,     220.000000,     302.000000,     216.000000,     152.000000,     121.000000,     207.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,      -0.340302,      -0.128942,       0.244367,       0.084577,      -0.234622,       0.164472,     109.375409,      70.153131,             MU,             ML,       0.148508,       0.340302,       0.234955,       0.079623,       0.244405,       0.157289,     112.793391,      69.888917,             MU,             MR,      -0.096942,       0.116662,      -0.054802,      -0.213624,       0.009860,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     110.417611,      -9.982278,       0.080097,     109.771172,     -13.382893,       0.107756,     110.094391,     -11.682586,       0.093927,       0.012599,     125.638726
            110,            -10,      16.648769,     135.000000,     212.000000,     216.000000,     151.000000,      33.000000,     122.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.062257,       0.128942,       0.234955,       0.077145,       0.033343,       0.156050,     111.058108,      69.472657,             MU,             MR,      -0.306683,      -0.094471,      -0.054802,      -0.223130,      -0.200577,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     112.120278,      -7.892299,       0.270063,     109.010432,     -14.773787,       0.332123,     110.565355,     -11.333043,       0.301093,       0.037734,     131.397709
            110,              0,     -12.354943,     109.000000,     190.000000,     217.000000,     152.000000,     204.000000,     294.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.126489,       0.074666,       0.237312,       0.079623,      -0.025912,       0.158467,     111.058108,      69.747904,             MU,             ML,       0.109277,       0.322466,      -0.054802,      -0.223130,       0.215871,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     109.544910,       4.823169,      -0.257045,     111.907358,      -5.233025,      -0.169673,     110.726134,      -0.204928,      -0.213359,      -0.027799,     128.629489
            110,              0,       0.000000,      17.000000,     103.000000,     218.000000,     153.000000,     217.000000,     303.000000,     218.000000,     153.000000,     117.000000,     203.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,      -0.342516,      -0.141184,       0.239666,       0.082100,      -0.241850,       0.160883,     111.058108,      70.023155,             MU,             ML,       0.141184,       0.342516,       0.239666,       0.082100,       0.241850,       0.160883,     111.058108,      70.023155,             MU,             MR,      -0.106812,       0.106812,      -0.054802,      -0.213624,       0.000000,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     110.352230,       3.325240,      -0.026725,     110.352230,      -3.325240,       0.026725,     110.352230,       0.000000,      -0.000000,       0.000000,     125.352230
            110,              0,      12.354943,     130.000000,     211.000000,     217.000000,     152.000000,      26.000000,     116.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.074666,       0.126489,       0.237312,       0.079623,       0.025912,       0.158467,     111.058108,      69.747904,             MU,             MR,      -0.322466,      -0.109277,      -0.054802,      -0.223130,      -0.215871,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     111.907358,       5.233025,       0.169673,     109.544910,      -4.823169,       0.257045,     110.726134,       0.204928,       0.213359,       0.027799,     128.629489
            110,             10,     -16.648769,     108.000000,     185.000000,     216.000000,     151.000000,     198.000000,     287.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.128942,       0.062257,       0.234955,       0.077145,      -0.033343,       0.156050,     111.058108,      69.472657,             MU,             ML,       0.094471,       0.306683,      -0.054802,      -0.223130,       0.200577,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     109.010432,      14.773787,      -0.332123,     112.120278,       7.892299,      -0.270063,     110.565355,      11.333043,      -0.301093,      -0.037734,     131.397709
            110,             10,      -4.573921,      18.000000,     100.000000,     216.000000,     152.000000,     212.000000,     302.000000,     220.000000,     154.000000,     113.000000,     199.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,      -0.340302,      -0.148508,       0.234955,       0.079623,      -0.244405,       0.157289,     112.793391,      69.888917,             MU,             ML,       0.128942,       0.340302,       0.244367,       0.084577,       0.234622,       0.164472,     109.375409,      70.153131,             MU,             MR,      -0.116662,       0.096942,      -0.054802,      -0.213624,      -0.009860,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     109.771172,      13.382893,      -0.107756,     110.417611,       9.982278,      -0.080097,     110.094391,      11.682586,      -0.093927,      -0.012599,     125.638726
            110,             10,       7.915657,     125.000000,     209.000000,     218.000000,     152.000000,      21.000000,     111.000000,      97.000000,      30.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.087052,       0.121579,       0.239666,       0.079623,       0.017263,       0.159645,     109.375409,      69.611063,             MU,             MR,      -0.333639,      -0.121579,      -0.057288,      -0.220757,      -0.227609,      -0.139023,     107.742941,      36.924056,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,     110.909151,      14.374062,       0.100177,     110.340789,       5.531496,       0.176071,     110.624970,       9.952779,       0.138124,       0.018406,     126.827998
            110,             20,     -20.758712,     107.000000,     180.000000,     213.000000,     150.000000,     192.000000,     279.000000,      98.000000,      29.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.131394,       0.049829,       0.227868,       0.074666,      -0.040783,       0.151267,     114.583762,      69.466135,             MU,             ML,       0.079623,       0.288451,      -0.054802,      -0.223130,       0.184037,      -0.138966,     104.619957,      37.367067,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,     108.431023,      23.503199,      -0.394143,     111.122773,      19.509041,      -0.355922,     109.776898,      21.506120,      -0.375033,      -0.045550,     134.011667
            110,             20,      -9.090277,      20.000000,      98.000000,     214.000000,     151.000000,     208.000000,     298.000000,     222.000000,     154.000000,     110.000000,     194.000000,      98.000000,      33.000000,             -1,             -1,             -1,             -1,      -0.335864,      -0.153383,       0.230233,       0.077145,      -0.244623,       0.153689,     114.583762,      69.750217,             MU,             ML,       0.119121,       0.331411,       0.249056,       0.084577,       0.225266,       0.166816,     106.158486,      69.875090,             MU,             MR,      -0.124035,       0.084577,      -0.054802,      -0.213624,      -0.019729,      -0.134213,     111.058108,      37.004398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              5,     110.029461,      21.072752,      -0.166537,     111.521302,      16.207507,      -0.126541,     110.775381,      18.640129,      -0.146539,      -0.019577,     127.149129
